"District","District Code","Special Education Status","Count","%"
"Seymour School District","=""1240011""","Students with Disabilities",30,10.8
"Sharon School District","=""1250011""","Students with Disabilities","N/A","N/A"
"Shelton School District","=""1260011""","Students with Disabilities",53,9.0
"Sherman School District","=""1270011""","Students with Disabilities","*","*"
"Simsbury School District","=""1280011""","Students with Disabilities",45,7.5
"Somers School District","=""1290011""","Students with Disabilities",14,7.7
"Southington School District","=""1310011""","Students with Disabilities",73,8.5
"South Windsor School District","=""1320011""","Students with Disabilities",65,10.6
"Sprague School District","=""1330011""","Students with Disabilities","*","*"
"Stafford School District","=""1340011""","Students with Disabilities",34,17.3
"Stamford School District","=""1350011""","Students with Disabilities",100,6.1
"Sterling School District","=""1360011""","Students with Disabilities",7,11.7
"Stonington School District","=""1370011""","Students with Disabilities",38,11.1
"Stratford School District","=""1380011""","Students with Disabilities",122,15.2
"Suffield School District","=""1390011""","Students with Disabilities",21,6.7
"Thomaston School District","=""1400011""","Students with Disabilities",26,15.0
"Thompson School District","=""1410011""","Students with Disabilities",17,12.9
"Tolland School District","=""1420011""","Students with Disabilities",28,7.6
"Torrington School District","=""1430011""","Students with Disabilities",108,11.9
"Trumbull School District","=""1440011""","Students with Disabilities",24,3.5
"Union School District","=""1450011""","Students with Disabilities","*","*"
"Vernon School District","=""1460011""","Students with Disabilities",66,13.9
"Voluntown School District","=""1470011""","Students with Disabilities","*","*"
"Wallingford School District","=""1480011""","Students with Disabilities",97,10.8
"Waterbury School District","=""1510011""","Students with Disabilities",882,27.6
"Waterford School District","=""1520011""","Students with Disabilities",45,12.7
"Watertown School District","=""1530011""","Students with Disabilities",65,17.1
"Westbrook School District","=""1540011""","Students with Disabilities",8,8.5
"West Hartford School District","=""1550011""","Students with Disabilities",122,9.7
"West Haven School District","=""1560011""","Students with Disabilities",106,12.7
"Weston School District","=""1570011""","Students with Disabilities","*","*"
"Westport School District","=""1580011""","Students with Disabilities",31,4.7
"Wethersfield School District","=""1590011""","Students with Disabilities",34,7.4
"Willington School District","=""1600011""","Students with Disabilities",8,9.2
"Wilton School District","=""1610011""","Students with Disabilities",29,5.4
"Winchester School District","=""1620011""","Students with Disabilities",19,9.1
"Windham School District","=""1630011""","Students with Disabilities",183,28.5
"Windsor School District","=""1640011""","Students with Disabilities",120,20.5
"Windsor Locks School District","=""1650011""","Students with Disabilities",24,10.3
"Wolcott School District","=""1660011""","Students with Disabilities",33,11.3
"Woodbridge School District","=""1670011""","Students with Disabilities","*","*"
"Woodstock School District","=""1690011""","Students with Disabilities","*","*"
"Regional School District 01","=""2010012""","Students with Disabilities",9,13.4
"Regional School District 04","=""2040012""","Students with Disabilities",16,11.6
"Regional School District 05","=""2050012""","Students with Disabilities",7,2.5
"Regional School District 06","=""2060012""","Students with Disabilities",20,14.6
"Regional School District 07","=""2070012""","Students with Disabilities",18,11.6
"Regional School District 08","=""2080012""","Students with Disabilities",46,19.2
"Regional School District 09","=""2090012""","Students with Disabilities","*","*"
"Regional School District 10","=""2100012""","Students with Disabilities",24,8.0
"Regional School District 11","=""2110012""","Students with Disabilities",14,25.9
"Regional School District 12","=""2120012""","Students with Disabilities",15,11.3
"Regional School District 13","=""2130012""","Students with Disabilities",18,5.6
"Regional School District 14","=""2140012""","Students with Disabilities",14,5.1
"Regional School District 15","=""2150012""","Students with Disabilities",46,7.6
"Regional School District 16","=""2160012""","Students with Disabilities",24,7.8
"Regional School District 17","=""2170012""","Students with Disabilities",49,13.7
"Regional School District 18","=""2180012""","Students with Disabilities",10,5.8
"Regional School District 19","=""2190012""","Students with Disabilities",34,15.9
"Capitol Region Education Council","=""2410014""","Students with Disabilities",89,11.6
"Education Connection","=""2420014""","Students with Disabilities","*","*"
"Cooperative Educational Services","=""2430014""","Students with Disabilities",21,6.2
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",137,17.7
"Learn","=""2450014""","Students with Disabilities","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",21,20.8
"Jumoke Academy District","=""2610013""","Students with Disabilities","*","*"
"Odyssey Community School District","=""2630013""","Students with Disabilities","N/A","N/A"
"Integrated Day Charter School District","=""2640013""","Students with Disabilities","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Students with Disabilities","*","*"
"Common Ground High School District","=""2680013""","Students with Disabilities","*","*"
"The Bridge Academy District","=""2690013""","Students with Disabilities",13,35.1
"Side By Side Charter School District","=""2700013""","Students with Disabilities","N/A","*"
"Explorations District","=""2720013""","Students with Disabilities",9,"*"
"Trailblazers Academy District","=""2780013""","Students with Disabilities","*","*"
"Amistad Academy District","=""2790013""","Students with Disabilities",10,17.9
"New Beginnings Inc., Family Academy District","=""2800013""","Students with Disabilities",6,25.0
"Stamford Academy District","=""2820013""","Students with Disabilities","*","*"
"Park City Prep Charter School District","=""2830013""","Students with Disabilities",6,26.1
"Bridgeport Achievement First District","=""2850013""","Students with Disabilities",14,43.8
"Highville Charter School District","=""2860013""","Students with Disabilities","N/A","*"
"Charter School for Young Children on Asylum Hill District","=""2870013""","Students with Disabilities","N/A","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Students with Disabilities",24,47.1
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",6,23.1
"Unified School District #1","=""3360015""","Students with Disabilities","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities","N/A","*"
"Unified School District #2","=""3470015""","Students with Disabilities",52,21.7
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",194,26.3
"Norwich Free Academy District","=""9010022""","Students with Disabilities",29,8.7
"The Gilbert School District","=""9020022""","Students with Disabilities",8,29.6
"Woodstock Academy District","=""9030022""","Students with Disabilities",11,18.6

