"District","District Code","Special Education Status","Count","%"
"Portland School District","=""1130011""","Students with Disabilities",7,4.5
"Preston School District","=""1140011""","Students with Disabilities","*","*"
"Putnam School District","=""1160011""","Students with Disabilities",30,13.7
"Redding School District","=""1170011""","Students with Disabilities",10,6.2
"Ridgefield School District","=""1180011""","Students with Disabilities",13,2.5
"Rocky Hill School District","=""1190011""","Students with Disabilities","*","*"
"Salem School District","=""1210011""","Students with Disabilities","*","*"
"Salisbury School District","=""1220011""","Students with Disabilities","*","*"
"Scotland School District","=""1230011""","Students with Disabilities","*","*"
"Seymour School District","=""1240011""","Students with Disabilities",40,13.2
"Sharon School District","=""1250011""","Students with Disabilities","*","*"
"Shelton School District","=""1260011""","Students with Disabilities",68,9.6
"Sherman School District","=""1270011""","Students with Disabilities","N/A","N/A"
"Simsbury School District","=""1280011""","Students with Disabilities",24,4.1
"Somers School District","=""1290011""","Students with Disabilities",12,6.3
"Southington School District","=""1310011""","Students with Disabilities",72,7.6
"South Windsor School District","=""1320011""","Students with Disabilities",51,8.0
"Sprague School District","=""1330011""","Students with Disabilities","*","*"
"Stafford School District","=""1340011""","Students with Disabilities",22,10.8
"Stamford School District","=""1350011""","Students with Disabilities",128,6.7
"Sterling School District","=""1360011""","Students with Disabilities",7,9.9
"Stonington School District","=""1370011""","Students with Disabilities",30,8.5
"Stratford School District","=""1380011""","Students with Disabilities",100,11.4
"Suffield School District","=""1390011""","Students with Disabilities",17,5.9
"Thomaston School District","=""1400011""","Students with Disabilities",20,12.7
"Thompson School District","=""1410011""","Students with Disabilities",16,12.0
"Tolland School District","=""1420011""","Students with Disabilities",26,7.3
"Torrington School District","=""1430011""","Students with Disabilities",138,16.0
"Trumbull School District","=""1440011""","Students with Disabilities",26,3.6
"Union School District","=""1450011""","Students with Disabilities","N/A","*"
"Vernon School District","=""1460011""","Students with Disabilities",75,13.5
"Voluntown School District","=""1470011""","Students with Disabilities","*","*"
"Wallingford School District","=""1480011""","Students with Disabilities",77,9.4
"Waterbury School District","=""1510011""","Students with Disabilities",1056,29.6
"Waterford School District","=""1520011""","Students with Disabilities",52,13.3
"Watertown School District","=""1530011""","Students with Disabilities",69,17.9
"Westbrook School District","=""1540011""","Students with Disabilities",7,6.5
"West Hartford School District","=""1550011""","Students with Disabilities",118,9.0
"West Haven School District","=""1560011""","Students with Disabilities",101,10.5
"Weston School District","=""1570011""","Students with Disabilities","*","*"
"Westport School District","=""1580011""","Students with Disabilities",26,3.9
"Wethersfield School District","=""1590011""","Students with Disabilities",38,6.7
"Willington School District","=""1600011""","Students with Disabilities",6,6.8
"Wilton School District","=""1610011""","Students with Disabilities",13,2.0
"Winchester School District","=""1620011""","Students with Disabilities",11,7.8
"Windham School District","=""1630011""","Students with Disabilities",160,28.0
"Windsor School District","=""1640011""","Students with Disabilities",98,16.3
"Windsor Locks School District","=""1650011""","Students with Disabilities",26,10.4
"Wolcott School District","=""1660011""","Students with Disabilities",35,13.0
"Woodbridge School District","=""1670011""","Students with Disabilities","*","*"
"Woodstock School District","=""1690011""","Students with Disabilities","*","*"
"Regional School District 01","=""2010012""","Students with Disabilities",10,16.1
"Regional School District 04","=""2040012""","Students with Disabilities",17,12.3
"Regional School District 05","=""2050012""","Students with Disabilities",22,8.5
"Regional School District 06","=""2060012""","Students with Disabilities",16,10.3
"Regional School District 07","=""2070012""","Students with Disabilities",16,11.1
"Regional School District 08","=""2080012""","Students with Disabilities",41,18.5
"Regional School District 09","=""2090012""","Students with Disabilities","*","*"
"Regional School District 10","=""2100012""","Students with Disabilities",24,8.2
"Regional School District 11","=""2110012""","Students with Disabilities",8,12.7
"Regional School District 12","=""2120012""","Students with Disabilities",15,11.1
"Regional School District 13","=""2130012""","Students with Disabilities",17,5.5
"Regional School District 14","=""2140012""","Students with Disabilities",14,6.2
"Regional School District 15","=""2150012""","Students with Disabilities",22,4.0
"Regional School District 16","=""2160012""","Students with Disabilities",30,8.3
"Regional School District 17","=""2170012""","Students with Disabilities",27,6.9
"Regional School District 18","=""2180012""","Students with Disabilities",12,6.2
"Regional School District 19","=""2190012""","Students with Disabilities",30,14.9
"Capitol Region Education Council","=""2410014""","Students with Disabilities",155,13.0
"Education Connection","=""2420014""","Students with Disabilities",16,50.0
"Cooperative Educational Services","=""2430014""","Students with Disabilities",34,9.0
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",128,15.7
"Learn","=""2450014""","Students with Disabilities",26,8.4
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities","N/A","N/A"
"Jumoke Academy District","=""2610013""","Students with Disabilities","*","*"
"Odyssey Community School District","=""2630013""","Students with Disabilities","*","*"
"Integrated Day Charter School District","=""2640013""","Students with Disabilities","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Students with Disabilities",10,25.0
"Common Ground High School District","=""2680013""","Students with Disabilities","*","*"
"The Bridge Academy District","=""2690013""","Students with Disabilities",9,22.0
"Side By Side Charter School District","=""2700013""","Students with Disabilities","*","*"
"Explorations District","=""2720013""","Students with Disabilities",6,23.1
"Trailblazers Academy District","=""2780013""","Students with Disabilities",6,16.2
"Amistad Academy District","=""2790013""","Students with Disabilities",34,55.7
"New Beginnings Inc., Family Academy District","=""2800013""","Students with Disabilities","N/A","N/A"
"Stamford Academy District","=""2820013""","Students with Disabilities",7,33.3
"Park City Prep Charter School District","=""2830013""","Students with Disabilities",7,30.4
"Bridgeport Achievement First District","=""2850013""","Students with Disabilities",24,34.8
"Highville Charter School District","=""2860013""","Students with Disabilities","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Students with Disabilities",31,37.3
"Elm City College Preparatory School District","=""2890013""","Students with Disabilities",22,44.9
"Brass City Charter School District","=""2900013""","Students with Disabilities","N/A","*"
"Unified School District #1","=""3360015""","Students with Disabilities","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities","N/A","*"
"Unified School District #2","=""3470015""","Students with Disabilities",56,25.8
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",180,20.5
"Norwich Free Academy District","=""9010022""","Students with Disabilities",90,31.1
"The Gilbert School District","=""9020022""","Students with Disabilities",36,40.9
"Woodstock Academy District","=""9030022""","Students with Disabilities","*","*"
"Andover School District","=""0010011""","Students with Disabilities","*","*"
"Ansonia School District","=""0020011""","Students with Disabilities",49,12.7
"Ashford School District","=""0030011""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Students with Disabilities",22,5.6
"Barkhamsted School District","=""0050011""","Students with Disabilities","*","*"
"Berlin School District","=""0070011""","Students with Disabilities",30,8.3
"Bethany School District","=""0080011""","Students with Disabilities","*","*"
"Bethel School District","=""0090011""","Students with Disabilities",43,11.8
"Bloomfield School District","=""0110011""","Students with Disabilities",53,17.7
"Bolton School District","=""0120011""","Students with Disabilities",9,8.7
"Bozrah School District","=""0130011""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Students with Disabilities",37,8.0
"Bridgeport School District","=""0150011""","Students with Disabilities",649,21.4
"Bristol School District","=""0170011""","Students with Disabilities",268,17.3
"Brookfield School District","=""0180011""","Students with Disabilities",17,4.7
"Brooklyn School District","=""0190011""","Students with Disabilities",10,8.7
"Canaan School District","=""0210011""","Students with Disabilities","N/A","*"
"Canterbury School District","=""0220011""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Students with Disabilities",8,4.1
"Chaplin School District","=""0240011""","Students with Disabilities","*","*"
"Cheshire School District","=""0250011""","Students with Disabilities",42,7.4
"Chester School District","=""0260011""","Students with Disabilities","N/A","N/A"
"Clinton School District","=""0270011""","Students with Disabilities",35,15.2
"Colchester School District","=""0280011""","Students with Disabilities",40,9.5
"Colebrook School District","=""0290011""","Students with Disabilities","*","*"
"Columbia School District","=""0300011""","Students with Disabilities","*","*"
"Cornwall School District","=""0310011""","Students with Disabilities","N/A","*"
"Coventry School District","=""0320011""","Students with Disabilities",26,10.1
"Cromwell School District","=""0330011""","Students with Disabilities",28,12.1
"Danbury School District","=""0340011""","Students with Disabilities",183,12.7
"Darien School District","=""0350011""","Students with Disabilities",21,3.1
"Deep River School District","=""0360011""","Students with Disabilities","*","*"

