"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Andover School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Andover School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Ansonia School District","900901220","2009-2010","Students with Disabilities","Suspensions","Percent","11.4"
"Ansonia School District","900901220","2010-2011","Students with Disabilities","Suspensions","Percent","11.7"
"Ansonia School District","900901220","2011-2012","Students with Disabilities","Suspensions","Percent","11.8"
"Ansonia School District","900901220","2012-2013","Students with Disabilities","Suspensions","Percent","12.5"
"Ansonia School District","900901220","2013-2014","Students with Disabilities","Suspensions","Percent","12.7"
"Ansonia School District","900901220","2014-2015","Students with Disabilities","Suspensions","Percent","10.9"
"Ansonia School District","900901220","2015-2016","Students with Disabilities","Suspensions","Percent","11.7"
"Ansonia School District","900901220","2016-2017","Students with Disabilities","Suspensions","Percent","16.0"
"Ansonia School District","900901220","2017-2018","Students with Disabilities","Suspensions","Percent","15.8"
"Area Cooperative Educational Services","","2009-2010","Students with Disabilities","Suspensions","Percent","10.5"
"Area Cooperative Educational Services","","2010-2011","Students with Disabilities","Suspensions","Percent","17.7"
"Area Cooperative Educational Services","","2011-2012","Students with Disabilities","Suspensions","Percent","7.8"
"Area Cooperative Educational Services","","2012-2013","Students with Disabilities","Suspensions","Percent","15.3"
"Area Cooperative Educational Services","","2013-2014","Students with Disabilities","Suspensions","Percent","15.7"
"Area Cooperative Educational Services","","2014-2015","Students with Disabilities","Suspensions","Percent","14.5"
"Area Cooperative Educational Services","","2015-2016","Students with Disabilities","Suspensions","Percent","15.6"
"Area Cooperative Educational Services","","2016-2017","Students with Disabilities","Suspensions","Percent","18.7"
"Area Cooperative Educational Services","","2017-2018","Students with Disabilities","Suspensions","Percent","14.1"
"Ashford School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Ashford School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Avon School District","900302060","2009-2010","Students with Disabilities","Suspensions","Percent","4.9"
"Avon School District","900302060","2010-2011","Students with Disabilities","Suspensions","Percent","3.5"
"Avon School District","900302060","2011-2012","Students with Disabilities","Suspensions","Percent","4.3"
"Avon School District","900302060","2012-2013","Students with Disabilities","Suspensions","Percent","5.7"
"Avon School District","900302060","2013-2014","Students with Disabilities","Suspensions","Percent","5.6"
"Avon School District","900302060","2014-2015","Students with Disabilities","Suspensions","Percent","3.7"
"Avon School District","900302060","2015-2016","Students with Disabilities","Suspensions","Percent","3.7"
"Avon School District","900302060","2016-2017","Students with Disabilities","Suspensions","Percent","3.5"
"Avon School District","900302060","2017-2018","Students with Disabilities","Suspensions","Percent","5.9"
"Barkhamsted School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Barkhamsted School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Barkhamsted School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Barkhamsted School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Barkhamsted School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Barkhamsted School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Barkhamsted School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-6666"
"Barkhamsted School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Barkhamsted School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-6666"
"Berlin School District","","2009-2010","Students with Disabilities","Suspensions","Percent","14.1"
"Berlin School District","","2010-2011","Students with Disabilities","Suspensions","Percent","16.7"
"Berlin School District","","2011-2012","Students with Disabilities","Suspensions","Percent","14.5"
"Berlin School District","","2012-2013","Students with Disabilities","Suspensions","Percent","9.1"
"Berlin School District","","2013-2014","Students with Disabilities","Suspensions","Percent","8.0"
"Berlin School District","","2014-2015","Students with Disabilities","Suspensions","Percent","7.3"
"Berlin School District","","2015-2016","Students with Disabilities","Suspensions","Percent","8.1"
"Berlin School District","","2016-2017","Students with Disabilities","Suspensions","Percent","8.5"
"Berlin School District","","2017-2018","Students with Disabilities","Suspensions","Percent","7.2"
"Bethany School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Bethany School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Bethany School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Bethany School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Bethany School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Bethany School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Bethany School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Bethany School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Bethany School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Bethel School District","900104720","2009-2010","Students with Disabilities","Suspensions","Percent","9.1"
"Bethel School District","900104720","2010-2011","Students with Disabilities","Suspensions","Percent","8.4"
"Bethel School District","900104720","2011-2012","Students with Disabilities","Suspensions","Percent","8.7"
"Bethel School District","900104720","2012-2013","Students with Disabilities","Suspensions","Percent","13.7"
"Bethel School District","900104720","2013-2014","Students with Disabilities","Suspensions","Percent","11.5"
"Bethel School District","900104720","2014-2015","Students with Disabilities","Suspensions","Percent","15.0"
"Bethel School District","900104720","2015-2016","Students with Disabilities","Suspensions","Percent","14.2"
"Bethel School District","900104720","2016-2017","Students with Disabilities","Suspensions","Percent","13.0"
"Bethel School District","900104720","2017-2018","Students with Disabilities","Suspensions","Percent","13.1"
"Bloomfield School District","900305910","2009-2010","Students with Disabilities","Suspensions","Percent","18.7"
"Bloomfield School District","900305910","2010-2011","Students with Disabilities","Suspensions","Percent","21.3"
"Bloomfield School District","900305910","2011-2012","Students with Disabilities","Suspensions","Percent","19.3"
"Bloomfield School District","900305910","2012-2013","Students with Disabilities","Suspensions","Percent","19.6"
"Bloomfield School District","900305910","2013-2014","Students with Disabilities","Suspensions","Percent","17.7"
"Bloomfield School District","900305910","2014-2015","Students with Disabilities","Suspensions","Percent","16.3"
"Bloomfield School District","900305910","2015-2016","Students with Disabilities","Suspensions","Percent","18.9"
"Bloomfield School District","900305910","2016-2017","Students with Disabilities","Suspensions","Percent","11.5"
"Bloomfield School District","900305910","2017-2018","Students with Disabilities","Suspensions","Percent","13.5"
"Bolton School District","901306260","2009-2010","Students with Disabilities","Suspensions","Percent","7.8"
"Bolton School District","901306260","2010-2011","Students with Disabilities","Suspensions","Percent","15.3"
"Bolton School District","901306260","2011-2012","Students with Disabilities","Suspensions","Percent","12.0"
"Bolton School District","901306260","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Bolton School District","901306260","2013-2014","Students with Disabilities","Suspensions","Percent","8.7"
"Bolton School District","901306260","2014-2015","Students with Disabilities","Suspensions","Percent","12.7"
"Bolton School District","901306260","2015-2016","Students with Disabilities","Suspensions","Percent","9.4"
"Bolton School District","901306260","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Bolton School District","901306260","2017-2018","Students with Disabilities","Suspensions","Percent","7.5"
"Booker T. Washington Academy District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Booker T. Washington Academy District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Booker T. Washington Academy District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Booker T. Washington Academy District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Bozrah School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Bozrah School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Bozrah School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Bozrah School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Bozrah School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-6666"
"Bozrah School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-6666"
"Bozrah School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-6666"
"Bozrah School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Bozrah School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Branford School District","900907310","2009-2010","Students with Disabilities","Suspensions","Percent","7.4"
"Branford School District","900907310","2010-2011","Students with Disabilities","Suspensions","Percent","8.3"
"Branford School District","900907310","2011-2012","Students with Disabilities","Suspensions","Percent","9.1"
"Branford School District","900907310","2012-2013","Students with Disabilities","Suspensions","Percent","10.5"
"Branford School District","900907310","2013-2014","Students with Disabilities","Suspensions","Percent","8.0"
"Branford School District","900907310","2014-2015","Students with Disabilities","Suspensions","Percent","12.4"
"Branford School District","900907310","2015-2016","Students with Disabilities","Suspensions","Percent","13.1"
"Branford School District","900907310","2016-2017","Students with Disabilities","Suspensions","Percent","11.9"
"Branford School District","900907310","2017-2018","Students with Disabilities","Suspensions","Percent","12.5"
"Brass City Charter School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Brass City Charter School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Brass City Charter School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Brass City Charter School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Brass City Charter School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Bridgeport Achievement First District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Bridgeport Achievement First District","","2010-2011","Students with Disabilities","Suspensions","Percent","43.8"
"Bridgeport Achievement First District","","2011-2012","Students with Disabilities","Suspensions","Percent","43.4"
"Bridgeport Achievement First District","","2012-2013","Students with Disabilities","Suspensions","Percent","28.6"
"Bridgeport Achievement First District","","2013-2014","Students with Disabilities","Suspensions","Percent","34.8"
"Bridgeport Achievement First District","","2014-2015","Students with Disabilities","Suspensions","Percent","44.8"
"Bridgeport Achievement First District","","2015-2016","Students with Disabilities","Suspensions","Percent","33.3"
"Bridgeport Achievement First District","","2016-2017","Students with Disabilities","Suspensions","Percent","29.7"
"Bridgeport Achievement First District","","2017-2018","Students with Disabilities","Suspensions","Percent","15.7"
"Bridgeport School District","900108070","2009-2010","Students with Disabilities","Suspensions","Percent","20.0"
"Bridgeport School District","900108070","2010-2011","Students with Disabilities","Suspensions","Percent","21.0"
"Bridgeport School District","900108070","2011-2012","Students with Disabilities","Suspensions","Percent","20.9"
"Bridgeport School District","900108070","2012-2013","Students with Disabilities","Suspensions","Percent","22.2"
"Bridgeport School District","900108070","2013-2014","Students with Disabilities","Suspensions","Percent","21.3"
"Bridgeport School District","900108070","2014-2015","Students with Disabilities","Suspensions","Percent","22.2"
"Bridgeport School District","900108070","2015-2016","Students with Disabilities","Suspensions","Percent","20.8"
"Bridgeport School District","900108070","2016-2017","Students with Disabilities","Suspensions","Percent","19.2"
"Bridgeport School District","900108070","2017-2018","Students with Disabilities","Suspensions","Percent","19.4"
"Bristol School District","900308490","2009-2010","Students with Disabilities","Suspensions","Percent","11.3"
"Bristol School District","900308490","2010-2011","Students with Disabilities","Suspensions","Percent","17.3"
"Bristol School District","900308490","2011-2012","Students with Disabilities","Suspensions","Percent","16.4"
"Bristol School District","900308490","2012-2013","Students with Disabilities","Suspensions","Percent","15.8"
"Bristol School District","900308490","2013-2014","Students with Disabilities","Suspensions","Percent","17.3"
"Bristol School District","900308490","2014-2015","Students with Disabilities","Suspensions","Percent","16.1"
"Bristol School District","900308490","2015-2016","Students with Disabilities","Suspensions","Percent","16.0"
"Bristol School District","900308490","2016-2017","Students with Disabilities","Suspensions","Percent","13.4"
"Bristol School District","900308490","2017-2018","Students with Disabilities","Suspensions","Percent","13.7"
"Brookfield School District","900108980","2009-2010","Students with Disabilities","Suspensions","Percent","2.4"
"Brookfield School District","900108980","2010-2011","Students with Disabilities","Suspensions","Percent","4.5"
"Brookfield School District","900108980","2011-2012","Students with Disabilities","Suspensions","Percent","5.0"
"Brookfield School District","900108980","2012-2013","Students with Disabilities","Suspensions","Percent","7.4"
"Brookfield School District","900108980","2013-2014","Students with Disabilities","Suspensions","Percent","4.7"
"Brookfield School District","900108980","2014-2015","Students with Disabilities","Suspensions","Percent","4.1"
"Brookfield School District","900108980","2015-2016","Students with Disabilities","Suspensions","Percent","6.4"
"Brookfield School District","900108980","2016-2017","Students with Disabilities","Suspensions","Percent","7.7"
"Brookfield School District","900108980","2017-2018","Students with Disabilities","Suspensions","Percent","9.3"
"Brooklyn School District","","2009-2010","Students with Disabilities","Suspensions","Percent","7.1"
"Brooklyn School District","","2010-2011","Students with Disabilities","Suspensions","Percent","4.9"
"Brooklyn School District","","2011-2012","Students with Disabilities","Suspensions","Percent","11.9"
"Brooklyn School District","","2012-2013","Students with Disabilities","Suspensions","Percent","7.1"
"Brooklyn School District","","2013-2014","Students with Disabilities","Suspensions","Percent","8.7"
"Brooklyn School District","","2014-2015","Students with Disabilities","Suspensions","Percent","5.7"
"Brooklyn School District","","2015-2016","Students with Disabilities","Suspensions","Percent","6.5"
"Brooklyn School District","","2016-2017","Students with Disabilities","Suspensions","Percent","9.2"
"Brooklyn School District","","2017-2018","Students with Disabilities","Suspensions","Percent","6.3"
"Canaan School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Canaan School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2010-2011","Students with Disabilities","Suspensions","Percent","8.1"
"Canterbury School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Canterbury School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Canton School District","900312270","2009-2010","Students with Disabilities","Suspensions","Percent","5.7"
"Canton School District","900312270","2010-2011","Students with Disabilities","Suspensions","Percent","4.1"
"Canton School District","900312270","2011-2012","Students with Disabilities","Suspensions","Percent","9.9"
"Canton School District","900312270","2012-2013","Students with Disabilities","Suspensions","Percent","7.5"
"Canton School District","900312270","2013-2014","Students with Disabilities","Suspensions","Percent","4.1"
"Canton School District","900312270","2014-2015","Students with Disabilities","Suspensions","Percent","4.0"
"Canton School District","900312270","2015-2016","Students with Disabilities","Suspensions","Percent","6.3"
"Canton School District","900312270","2016-2017","Students with Disabilities","Suspensions","Percent","7.8"
"Canton School District","900312270","2017-2018","Students with Disabilities","Suspensions","Percent","4.2"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Students with Disabilities","Suspensions","Percent","37.5"
"Capital Preparatory Harbor School Inc. District","","2017-2018","Students with Disabilities","Suspensions","Percent","12.5"
"Capitol Region Education Council","","2009-2010","Students with Disabilities","Suspensions","Percent","10.6"
"Capitol Region Education Council","","2010-2011","Students with Disabilities","Suspensions","Percent","11.3"
"Capitol Region Education Council","","2011-2012","Students with Disabilities","Suspensions","Percent","7.7"
"Capitol Region Education Council","","2012-2013","Students with Disabilities","Suspensions","Percent","11.4"
"Capitol Region Education Council","","2013-2014","Students with Disabilities","Suspensions","Percent","13.0"
"Capitol Region Education Council","","2014-2015","Students with Disabilities","Suspensions","Percent","12.4"
"Capitol Region Education Council","","2015-2016","Students with Disabilities","Suspensions","Percent","12.7"
"Capitol Region Education Council","","2016-2017","Students with Disabilities","Suspensions","Percent","14.1"
"Capitol Region Education Council","","2017-2018","Students with Disabilities","Suspensions","Percent","12.7"
"Chaplin School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Chaplin School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Chaplin School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-6666"
"Chaplin School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Chaplin School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Chaplin School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-6666"
"Chaplin School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Chaplin School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-6666"
"Chaplin School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Charter School for Young Children on Asylum Hill District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Charter School for Young Children on Asylum Hill District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Cheshire School District","900914160","2009-2010","Students with Disabilities","Suspensions","Percent","8.0"
"Cheshire School District","900914160","2010-2011","Students with Disabilities","Suspensions","Percent","7.2"
"Cheshire School District","900914160","2011-2012","Students with Disabilities","Suspensions","Percent","8.2"
"Cheshire School District","900914160","2012-2013","Students with Disabilities","Suspensions","Percent","6.2"
"Cheshire School District","900914160","2013-2014","Students with Disabilities","Suspensions","Percent","7.4"
"Cheshire School District","900914160","2014-2015","Students with Disabilities","Suspensions","Percent","7.9"
"Cheshire School District","900914160","2015-2016","Students with Disabilities","Suspensions","Percent","10.2"
"Cheshire School District","900914160","2016-2017","Students with Disabilities","Suspensions","Percent","7.2"
"Cheshire School District","900914160","2017-2018","Students with Disabilities","Suspensions","Percent","7.9"
"Chester School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Chester School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-6666"
"Chester School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Chester School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Chester School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-6666"
"Chester School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Chester School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-6666"
"Chester School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-6666"
"Chester School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-6666"
"Clinton School District","900715350","2009-2010","Students with Disabilities","Suspensions","Percent","14.1"
"Clinton School District","900715350","2010-2011","Students with Disabilities","Suspensions","Percent","13.1"
"Clinton School District","900715350","2011-2012","Students with Disabilities","Suspensions","Percent","12.3"
"Clinton School District","900715350","2012-2013","Students with Disabilities","Suspensions","Percent","12.0"
"Clinton School District","900715350","2013-2014","Students with Disabilities","Suspensions","Percent","15.2"
"Clinton School District","900715350","2014-2015","Students with Disabilities","Suspensions","Percent","10.3"
"Clinton School District","900715350","2015-2016","Students with Disabilities","Suspensions","Percent","7.9"
"Clinton School District","900715350","2016-2017","Students with Disabilities","Suspensions","Percent","6.5"
"Clinton School District","900715350","2017-2018","Students with Disabilities","Suspensions","Percent","13.7"
"Colchester School District","901115910","2009-2010","Students with Disabilities","Suspensions","Percent","11.0"
"Colchester School District","901115910","2010-2011","Students with Disabilities","Suspensions","Percent","9.9"
"Colchester School District","901115910","2011-2012","Students with Disabilities","Suspensions","Percent","7.4"
"Colchester School District","901115910","2012-2013","Students with Disabilities","Suspensions","Percent","9.7"
"Colchester School District","901115910","2013-2014","Students with Disabilities","Suspensions","Percent","9.5"
"Colchester School District","901115910","2014-2015","Students with Disabilities","Suspensions","Percent","11.1"
"Colchester School District","901115910","2015-2016","Students with Disabilities","Suspensions","Percent","8.0"
"Colchester School District","901115910","2016-2017","Students with Disabilities","Suspensions","Percent","9.4"
"Colchester School District","901115910","2017-2018","Students with Disabilities","Suspensions","Percent","7.9"
"Colebrook School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Colebrook School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Colebrook School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Colebrook School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Colebrook School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Colebrook School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Colebrook School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Colebrook School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Colebrook School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2014-2015","Students with Disabilities","Suspensions","Percent","8.1"
"Columbia School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Columbia School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2014-2015","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2015-2016","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2016-2017","Students with Disabilities","Suspensions","Percent","-9999"
"Common Ground High School District","","2017-2018","Students with Disabilities","Suspensions","Percent","-9999"
"Connecticut","9","2009-2010","Students with Disabilities","Suspensions","Percent",11.9
"Connecticut","9","2010-2011","Students with Disabilities","Suspensions","Percent",12.8
"Connecticut","9","2011-2012","Students with Disabilities","Suspensions","Percent",12.9
"Connecticut","9","2012-2013","Students with Disabilities","Suspensions","Percent",12.9
"Connecticut","9","2013-2014","Students with Disabilities","Suspensions","Percent",12.6
"Connecticut","9","2014-2015","Students with Disabilities","Suspensions","Percent",12.4
"Connecticut","9","2015-2016","Students with Disabilities","Suspensions","Percent",12.1
"Connecticut","9","2016-2017","Students with Disabilities","Suspensions","Percent",11.7
"Connecticut","9","2017-2018","Students with Disabilities","Suspensions","Percent",11.7
"Connecticut Technical Education and Career System","","2017-2018","Students with Disabilities","Suspensions","Percent","19.9"
"Connecticut Technical High School System","","2009-2010","Students with Disabilities","Suspensions","Percent","24.1"
"Connecticut Technical High School System","","2010-2011","Students with Disabilities","Suspensions","Percent","26.3"
"Connecticut Technical High School System","","2011-2012","Students with Disabilities","Suspensions","Percent","26.8"
"Connecticut Technical High School System","","2012-2013","Students with Disabilities","Suspensions","Percent","23.0"
"Connecticut Technical High School System","","2013-2014","Students with Disabilities","Suspensions","Percent","20.5"
"Connecticut Technical High School System","","2014-2015","Students with Disabilities","Suspensions","Percent","17.5"
"Connecticut Technical High School System","","2015-2016","Students with Disabilities","Suspensions","Percent","18.7"
"Connecticut Technical High School System","","2016-2017","Students with Disabilities","Suspensions","Percent","16.1"
"Cooperative Educational Services","","2009-2010","Students with Disabilities","Suspensions","Percent","10.8"
"Cooperative Educational Services","","2010-2011","Students with Disabilities","Suspensions","Percent","6.2"
"Cooperative Educational Services","","2011-2012","Students with Disabilities","Suspensions","Percent","12.2"
"Cooperative Educational Services","","2012-2013","Students with Disabilities","Suspensions","Percent","8.9"
"Cooperative Educational Services","","2013-2014","Students with Disabilities","Suspensions","Percent","9.0"
"Cooperative Educational Services","","2014-2015","Students with Disabilities","Suspensions","Percent","12.4"
"Cooperative Educational Services","","2015-2016","Students with Disabilities","Suspensions","Percent","12.0"
"Cooperative Educational Services","","2016-2017","Students with Disabilities","Suspensions","Percent","9.0"
"Cooperative Educational Services","","2017-2018","Students with Disabilities","Suspensions","Percent","6.4"
"Cornwall School District","","2009-2010","Students with Disabilities","Suspensions","Percent","-6666"
"Cornwall School District","","2010-2011","Students with Disabilities","Suspensions","Percent","-9999"
"Cornwall School District","","2011-2012","Students with Disabilities","Suspensions","Percent","-9999"
"Cornwall School District","","2012-2013","Students with Disabilities","Suspensions","Percent","-9999"
"Cornwall School District","","2013-2014","Students with Disabilities","Suspensions","Percent","-9999"
